doc_id,start,end,text,label
933849de56d25591326eb51fc1f7f7ff1efb40b4,0,17,Dr. Rajesh Sharma,PERSON
933849de56d25591326eb51fc1f7f7ff1efb40b4,35,64,Bhabha Atomic Research Centre,ORG
933849de56d25591326eb51fc1f7f7ff1efb40b4,75,81,Mumbai,GPE
933849de56d25591326eb51fc1f7f7ff1efb40b4,87,91,BARC,ORG
24910710d6e24f7b0d36bbcbc66e361c77f3702b,0,9,R. Sharma,PERSON
24910710d6e24f7b0d36bbcbc66e361c77f3702b,28,56,Tarapur Atomic Power Station,FACILITY
24910710d6e24f7b0d36bbcbc66e361c77f3702b,66,77,Indian Navy,ORG
24910710d6e24f7b0d36bbcbc66e361c77f3702b,92,97,India,GPE
f369a8a1a67997e649cfaad872e96e4751fa8520,0,11,Anita Desai,PERSON
f369a8a1a67997e649cfaad872e96e4751fa8520,15,29,Acme Pvt. Ltd.,ORG
f369a8a1a67997e649cfaad872e96e4751fa8520,34,47,Rajesh Sharma,PERSON
f369a8a1a67997e649cfaad872e96e4751fa8520,51,56,Delhi,GPE
f369a8a1a67997e649cfaad872e96e4751fa8520,62,73,Indian Army,ORG

